Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,UNSD Geographical Grouping
Incident,2017,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,1,0,0,Mixed or unknown,US-Mexico border crossing,"Héctor López Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",US Border Patrol / South Texas Human Rights Center,Northern America
Incident,2017,June,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,2,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,June,Western / Southern Asia (P),Southern Asia,Unknown,1,0,1,0,1,0,0,Mixed or unknown,,"Jamia Nagar district, Delhi, India",Mixed Migration Monitoring Mechanism Initiative (4mi),Southern Asia
Incident,2017,June,Western / Southern Asia (P),Southern Asia,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Jamia Nagar district, Delhi, India",Mixed Migration Monitoring Mechanism Initiative (4mi),Southern Asia
Incident,2017,June,Central America,Central America,Honduras,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Train tracks near La Amapa, Villa Unión, Sinaloa, Mexico",Línea Directa,Central America
Incident,2017,June,Unknown,Mediterranean,Unknown,18,0,18,2,0,0,0,Drowning,Central Mediterranean,"Bodies recovered near Garabulli, Libya",IOM Libya,Uncategorized
Incident,2017,June,Unknown,Mediterranean,Unknown,5,0,5,0,0,5,0,Drowning,Central Mediterranean,"Bodies recovered in Tajoura, Libya",IOM Libya,Uncategorized
Incident,2017,June,Sub-Saharan Africa (P),Northern Africa,Unknown,1,0,1,5,0,0,0,Violence,Sahara Desert crossing,"On the road between Sebha and Ashshwayrif, Libya",IOM DTM Libya,Northern Africa
Incident,2017,June,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Violence,Afghanistan to Iran,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan,Southern Asia
Incident,2017,June,Western Asia,Mediterranean,Iraq,1,0,1,71,0,0,0,Drowning,Central Mediterranean,"Unspecified location off the coast of Calabria, Italy",Wesud,Uncategorized
Incident,2017,June,Unknown,Western Africa,Unknown,6,0,6,0,0,6,0,Mixed or unknown,Sahara Desert crossing,"Dao, Niger, near the border with Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,June,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Central Mediterranean,"Body retrieved in Tajoura, east of Tripoli, Libya",IOM Libya,Uncategorized
Incident,2017,June,Unknown,Western Africa,Unknown,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,,"Lagos, Nigeria",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,June,Central America,North America,Guatemala,1,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Near Bentsen State Park, Mission, Hidalgo County, Texas","US Border Patrol, Hidalgo County Sheriff's Office",Northern America
Incident,2017,June,Unknown,Western Africa,Unknown,2,0,2,0,0,2,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,June,Unknown,Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Kano, Nigeria",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,June,Sub-Saharan Africa (P),Western Africa,Unknown,1,51,52,23,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Desert near Séguédine, Niger",IOM Niger,Western Africa
Incident,2017,June,Sub-Saharan Africa (P),Mediterranean,Unknown,2,0,2,229,0,0,0,Mixed or unknown,Central Mediterranean,Unspecified location off the coast of Libya,"IOM Italy, Ministerio de Defensa de España",Uncategorized
Incident,2017,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Dos Palomas Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",US Border Patrol / South Texas Human Rights Center,Northern America
Incident,2017,June,Unknown,Mediterranean,Unknown,3,0,3,0,0,0,0,Drowning,Central Mediterranean,Unspecified location off the coast of Libya,Jugend Rettet,Uncategorized
Incident,2017,June,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Central Mediterranean,"Body retrieved in Al Maya, Libya",IOM Libya,Uncategorized
Incident,2017,June,Latin America / Caribbean (P),Central America,Unknown,2,0,2,0,1,1,1,Drowning,US-Mexico border crossing,"Rio Bravo, Puente Internacional, Ojinaga, Chihuahua, Mexico",US Border Patrol / La Crónica de Chihuahua,Central America
Incident,2017,June,Central America,North America,Guatemala,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,June,Central America,North America,Mexico,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,June,Western Asia,Western Asia,Syrian Arab Republic,10,0,10,0,0,0,0,Violence,Syria to Türkiye,"Syrian/Turkish border, Idlib province",Syrian Observatory for Human Rights,Western Asia
Incident,2017,June,Western Asia,Western Asia,Syrian Arab Republic,2,0,2,0,0,2,0,Violence,Syria to Türkiye,"Syrian/Turkish border, near Darkoush, Idlib province",Syrian Observatory for Human Rights,Western Asia
Incident,2017,June,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,June,Unknown,Western Africa,Unknown,2,0,2,0,0,2,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Séguédine, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Western Africa,Unknown,1,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Sahara desert, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,June,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,June,Central America,North America,El Salvador,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"El Tepejuaje Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",US Border Patrol / South Texas Human Rights Center,Northern America
Incident,2017,June,Unknown,Mediterranean,Unknown,7,0,7,0,0,0,0,Drowning,Central Mediterranean,"Bodies retrieved in Tajoura, east of Tripoli, Libya",IOM Libya,Uncategorized
Incident,2017,June,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,0,2,0,Mixed or unknown,,"Tripoli, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Cage Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",US Border Patrol / South Texas Human Rights Center,Northern America
Incident,2017,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,June,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Central Mediterranean,Unspecified location between North Africa and Italy,UNHCR Italy,Uncategorized
Incident,2017,June,Unknown,Mediterranean,Unknown,29,0,29,0,2,27,0,Drowning,Central Mediterranean,"Bodies recovered near Tajoura, Libya",IOM Libya,Uncategorized
Incident,2017,June,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,1,Sickness / lack of access to adequate healthcare,Central Mediterranean,On boat after being rescued off the coast of Libya,Italian Red Cross,Uncategorized
Incident,2017,June,Unknown,Mediterranean,Unknown,2,0,2,0,0,0,0,Mixed or unknown,Central Mediterranean,Unspecified location between Libya and Italy,IOM Italy,Uncategorized
Incident,2017,June,Central America,Central America,Mexico,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near Congregación Los Rodríguez, Guerrero, Coahuila, Mexico",NVI Noticias,Central America
Incident,2017,June,Central America,North America,Mexico,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, Eagle Pass, Maverick County, Texas",La Rancherita del Aire,Northern America
Incident,2017,June,Unknown,Mediterranean,Unknown,2,0,2,0,0,0,0,Drowning,Central Mediterranean,"Bodies recovered in Az Zawiyah, Libya",IOM Libya,Uncategorized
Incident,2017,June,Eastern Africa (P),Eastern Africa,Unknown,10,0,10,0,0,0,0,Mixed or unknown,,"Metema, Ethiopia, near the border with Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),Eastern Africa
Incident,2017,June,Eastern Africa (P),Northern Africa,Unknown,10,0,10,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Sahara desert, near Wad Madani, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,June,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Central Mediterranean,"Body recovered in Az Zawiyah, Libya",IOM Libya,Uncategorized
Incident,2017,June,Latin America / Caribbean (P),Caribbean,Unknown,1,0,1,5,0,1,0,Drowning,Dominican Republic to Puerto Rico,"Body recovered in Punta Coco, Higüey, La Altagracia, Dominican Republic",Listin Diario,Caribbean
Incident,2017,June,Central America,Central America,El Salvador,1,0,1,7,0,0,0,Vehicle accident / death linked to hazardous transport,,"KM 210, Federal Highway 190, between Santa María Jalapa del Marqués and Magdalena Tequisistlán, Oaxaca, Mexico",Zócalo,Central America
Incident,2017,June,Central America,North America,Mexico,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, Donna International Bridge, Donna, Hidalgo County, Texas, USA","Hidalgo County Sheriff's Office, FOX KFXV-TV",Northern America
Incident,2017,June,Central America,North America,Mexico,1,0,1,0,1,0,0,Mixed or unknown,US-Mexico border crossing,"Trad Ranch, Brooks County, Texas",South Texas Human Rights Center,Northern America
Incident,2017,June,Unknown,Western Africa,Unknown,1,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,June,Unknown,Mediterranean,Unknown,,60,60,80,0,0,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,IOM Italy,Uncategorized
Incident,2017,June,Western Africa,Mediterranean,Ghana,1,0,1,0,0,1,0,Mixed or unknown,Central Mediterranean,In hospital in Lampedusa after being rescued off the coast of Libya,Proactiva Open Arms,Uncategorized
Incident,2017,June,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,June,Eastern Africa (P),Eastern Africa,Unknown,3,0,3,0,0,0,0,Mixed or unknown,,"Metema, Ethiopia, near the border with Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),Eastern Africa
Incident,2017,June,Eastern Africa (P),Northern Africa,Unknown,4,0,4,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Sahara desert, Sudan, across the border from Metema, Ethiopia",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,June,Eastern Africa (P),Northern Africa,Unknown,4,0,4,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Cumulative Incident,2017,June,Unknown,Mediterranean,Unknown,10,0,10,0,0,0,0,Drowning,Central Mediterranean,"Bodies washed up near Zarzis, Tunisia",IOM Tunisia,Uncategorized
Incident,2017,June,Unknown,Northern Africa,Unknown,2,0,2,0,0,0,0,Violence,,"Misurata, Libya",MHub,Northern Africa
Incident,2017,June,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,Violence,,"Tripoli, Libya",MHub,Northern Africa
Incident,2017,June,Unknown,Northern Africa,Unknown,2,0,2,0,0,0,0,Violence,,"Subratah, Libya",MHub,Northern Africa
Incident,2017,June,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,Violence,Sahara Desert crossing,"Unspecified location, Libya",MHub,Northern Africa
Incident,2017,June,Unknown,Northern Africa,Unknown,10,0,10,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location, Libya",MHub,Northern Africa
Incident,2017,June,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Unspecified location, Libya",MHub,Northern Africa
Incident,2017,June,Unknown,Northern Africa,Unknown,3,0,3,0,0,0,0,Violence,,"Subratah, Libya",MHub,Northern Africa
Incident,2017,June,Unknown,Northern Africa,Unknown,1,0,1,0,0,0,0,Violence,,"Subratah, Libya",MHub,Northern Africa
Incident,2017,July,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,1,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,"Benghazi, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,July,Unknown,Mediterranean,Unknown,9,0,9,0,6,3,0,Drowning,Central Mediterranean,Unspecified location between Libya and Italy,Swedish Coast Guard,Uncategorized
Incident,2017,July,Eastern Africa (P),Northern Africa,Unknown,3,0,3,0,0,3,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Ghat, Libya, near the border with Algeria",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,July,Eastern Africa (P),Northern Africa,Unknown,3,0,3,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Ajdabiya, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Cumulative Incident,2017,July,Unknown,Europe,Unknown,1,0,1,0,0,0,0,Mixed or unknown,Italy to France,Italy - France border at Ventimiglia,Open Migration,Southern Europe
Incident,2017,July,Central America,North America,Mexico,1,0,1,1,0,1,0,Mixed or unknown,US-Mexico border crossing,"Buena Suerte Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",US Border Patrol / South Texas Human Rights Center,Northern America
Incident,2017,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Sub-Saharan Africa (P),Mediterranean,Unknown,4,0,4,0,0,4,0,Drowning,Central Mediterranean,"Bodies retrieved in Tajoura, east of Tripoli, Libya",IOM Libya,Uncategorized
Incident,2017,July,Eastern Africa (P),Northern Africa,Unknown,10,0,10,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initative (4mi),Northern Africa
Incident,2017,July,Sub-Saharan Africa (P),Mediterranean,Unknown,,49,49,3,0,0,0,Drowning,Western Mediterranean,"28 miles southwest of Isla de Alborán, between Morocco and Spain",Salvamento Marítimo,Uncategorized
Incident,2017,July,Central America,Central America,Honduras,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Train tracks near Saturnino Ríos, Chiapas, Mexico",Diario de Palenque,Central America
Incident,2017,July,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Drowning,,"La Bocatoma, near Estación Sufragio, El Fuerte, Sinaloa, Mexico",Debate,Central America
Incident,2017,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Central America,North America,Mexico,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Unknown,Western Africa,Unknown,6,0,6,0,0,6,0,Mixed or unknown,Sahara Desert crossing,"Garinkowa, Niger, near the border with Nigeria",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Western Africa,Unknown,3,0,3,0,0,3,0,Mixed or unknown,Sahara Desert crossing,"Garinkowa, Niger, near the border with Nigeria",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near La Playita, Reynosa, Tamaulipas, Mexico",El Mañana,Central America
Incident,2017,July,Central America,North America,Guatemala,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Isabella Ranch, Brooks County, Texas",South Texas Human Rights Center,Northern America
Incident,2017,July,Western / Southern Asia (P),Southern Asia,Unknown,3,0,3,0,0,3,0,Violence,,"Nimruz province, Afghanistan",Mixed Migration Monitoring Mechanism Initative (4mi),Southern Asia
Incident,2017,July,Unknown,Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Zinder, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Split Incident,2017,July,Northern Africa,Northern Africa,"Egypt,Unknown",40,0,40,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Egypt-Libya border, Jaghboub desert, 400km south of Tobruk, Libya",IOM Libya,Northern Africa
Incident,2017,July,Unknown,Mediterranean,Unknown,,35,35,65,0,0,7,Drowning,Central Mediterranean,"11km northwest of Garabulli, Libya",Al Jazeera,Uncategorized
Incident,2017,July,Western Asia,Western Asia,Syrian Arab Republic,2,0,2,0,0,0,0,Violence,Syria to Türkiye,"Syrian/Turkish border, near Ayn al-Bayda, Jisr Al-Shughur, Syria",Syrian Observatory for Human Rights,Western Asia
Incident,2017,July,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Unknown,Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Central Mediterranean,"Body recovered in Al Maya, west of Tripoli, Libya",IOM Libya,Uncategorized
Incident,2017,July,Central America,North America,Mexico,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Body found in ranch near Carrizo Springs, Dimmit County, Texas, USA",La Rancherita del Aire,Northern America
Incident,2017,July,Unknown,Western Africa,Unknown,2,0,2,0,0,2,0,Mixed or unknown,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Western Africa,Unknown,7,0,7,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Séguédine, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Western Africa,Unknown,1,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Western Africa,Unknown,5,0,5,0,0,5,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Western Africa,Unknown,1,0,1,0,0,1,1,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Zinder, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Western Africa,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Western Africa,Mediterranean,"Guinea,Mali",3,0,3,48,0,0,0,Drowning,Western Mediterranean,"Off the coast of Al-Hoceima, Morocco",Caminando Fronteras via eldiario.es,Uncategorized
Incident,2017,July,Unknown,Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Western Mediterranean,"33 miles southeast of Málaga, Spain",Salvamento Marítimo,Uncategorized
Incident,2017,July,Western Africa,Europe,Gambia,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Italy to France,"Strada Statale 1 Aurelia, near Latte, Ventimiglia, Italy, close to the border with France",La Stampa,Southern Europe
Incident,2017,July,Western Asia,Western Asia,Syrian Arab Republic,3,0,3,0,0,0,1,Violence,Syria to Türkiye,"Syrian/Turkish border, Idlib province",Syrian Observatory for Human Rights,Western Asia
Incident,2017,July,Unknown,Western Africa,Unknown,1,0,1,0,1,0,0,Violence,,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Central America,North America,El Salvador,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Cage Ranch, Brooks County, Texas",South Texas Human Rights Center,Northern America
Incident,2017,July,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Remains found in the Organ Pipe Cactus National Monument, Pima County, Arizona, USA - brought to Sonoyta, Sonora, Mexico by fellow migrants",AZ Central,Northern America
Incident,2017,July,Unknown,Western Africa,Unknown,15,0,15,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Western Mediterranean,"Body retrieved in Playa de Calahonda, Mijas, Málaga, Spain",Diario Sur,Uncategorized
Incident,2017,July,Caribbean,Caribbean,Haiti,5,1,6,0,1,3,1,Drowning,Haiti to Dominican Republic,"Irrigation canal in Las Matas de Santa Cruz, Dominican Republic, near the Haiti/DR border","IOM Dominican Republic, Listin Diario",Caribbean
Incident,2017,July,Western Asia,Western Asia,Syrian Arab Republic,6,0,6,0,0,0,0,Violence,Syria to Türkiye,"Syrian/Turkish border, Idlib province, near Iskenderun, Hatay, Türkiye",Syrian Observatory for Human Rights,Western Asia
Incident,2017,July,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Western Mediterranean,"Body retrieved near Mojácar, Almería, Spain",20minutos,Uncategorized
Incident,2017,July,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan,Southern Asia
Incident,2017,July,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Violence,Afghanistan to Iran,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan,Southern Asia
Incident,2017,July,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, Puente International Reynosa-Hidalgo, Tamaulipas, Mexico",El Mañana,Central America
Incident,2017,July,Central America,North America,Guatemala,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2017,July,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,US-Mexico border crossing,"Train tracks between Blvrd. Lázaro Cárdenas and Adolfo López Mateos, Mexicali, Baja California, Mexico",La Voz de la Frontera,Central America
Incident,2017,July,Unknown,Western Africa,Unknown,1,0,1,0,0,1,1,Mixed or unknown,,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Western Africa,Unknown,2,0,2,0,1,1,0,Mixed or unknown,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Western Africa,Unknown,24,0,24,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Unknown,Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Dosso, Niger",Mixed Migration Monitoring Mechanism Initative (4mi),Western Africa
Incident,2017,July,Eastern Africa (P),Eastern Africa,Unknown,4,0,4,0,0,0,0,Mixed or unknown,,"Liboi, Kenya, near the border with Somalia",Mixed Migration Monitoring Mechanism Initative (4mi),Eastern Africa
Incident,2017,July,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near Rancho El Progreso, Nuevo Laredo, Tamaulipas, Mexico",Hoy Tamaulipas,Central America
Incident,2017,July,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Train tracks near Ejido La Reata, Coahuila, Mexico",Zócalo,Central America
Incident,2017,July,Southern Asia,Southern Asia,Afghanistan,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Afghanistan to Iran,"Sarwan, Sistan and Baluchestan province, Iran",IOM Afghanistan,Southern Asia
Incident,2017,July,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, Brownsville, Cameron County, Texas, USA",US Border Patrol,Northern America
